Datetime;Latitude;Longitude;Altitude;Distance;HeartRate;Speed;Cadence;Watts
2020-10-10 10:54:36+00:00;61.49028061889112;23.767301430925727;84.80000305175781;11328.66015625;177;3.563999891281128;None;None
2020-10-10 10:54:37+00:00;61.49027047678828;23.76736027188599;84.80000305175781;11331.98046875;177;3.555000066757202;None;None
2020-10-10 10:54:38+00:00;61.490259412676096;23.767417520284653;84.5999984741211;11335.259765625;178;3.5460000038146973;None;None
2020-10-10 10:54:39+00:00;61.49024843238294;23.76747359521687;84.80000305175781;11338.490234375;177;3.5360000133514404;None;None
2020-10-10 10:54:40+00:00;61.49023904465139;23.767531011253595;84.80000305175781;11341.7197265625;176;3.5269999504089355;None;None
2020-10-10 10:54:41+00:00;61.49022990837693;23.767591528594494;84.5999984741211;11345.08984375;177;3.5179998874664307;None;None
2020-10-10 10:54:42+00:00;61.490219263359904;23.76765145920217;84.5999984741211;11348.490234375;177;3.507999897003174;None;None
2020-10-10 10:54:43+00:00;61.49020719341934;23.767714574933052;84.5999984741211;11352.1201171875;176;3.499000072479248;None;None
2020-10-10 10:54:44+00:00;61.4901970513165;23.767783557996154;84.5999984741211;11355.9599609375;176;3.490000009536743;None;None
2020-10-10 10:54:45+00:00;61.49019034579396;23.767845081165433;84.5999984741211;11359.3203125;177;3.4800000190734863;None;None
2020-10-10 10:54:46+00:00;61.49018154479563;23.76790652051568;84.5999984741211;11362.73046875;177;3.4800000190734863;None;None
2020-10-10 10:54:47+00:00;61.49017014540732;23.767966870218515;84.80000305175781;11366.1796875;176;3.4800000190734863;None;None
2020-10-10 10:54:48+00:00;61.49015807546675;23.768030405044556;84.80000305175781;11369.8095703125;177;3.4709999561309814;None;None
2020-10-10 10:54:49+00:00;61.49015002883971;23.768093856051564;84.80000305175781;11373.3095703125;177;3.4709999561309814;None;None
2020-10-10 10:54:50+00:00;61.49014315567911;23.768160324543715;84.80000305175781;11376.9296875;178;3.4619998931884766;None;None
2020-10-10 10:54:51+00:00;61.49013753980398;23.768225871026516;84.5999984741211;11380.48046875;177;3.4619998931884766;None;None
2020-10-10 10:54:52+00:00;61.49013301357627;23.768289322033525;84.5999984741211;11383.900390625;177;3.4619998931884766;None;None
2020-10-10 10:54:53+00:00;61.49012907408178;23.768354449421167;84.5999984741211;11387.3896484375;177;3.4619998931884766;None;None
2020-10-10 10:54:54+00:00;61.490125050768256;23.768423851579428;84.80000305175781;11391.1103515625;177;3.4619998931884766;None;None
2020-10-10 10:54:55+00:00;61.490119602531195;23.768494678661227;84.80000305175781;11394.9296875;175;3.4619998931884766;None;None
2020-10-10 10:54:56+00:00;61.49011557921767;23.768567517399788;84.5999984741211;11398.830078125;177;3.4619998931884766;None;None
2020-10-10 10:54:57+00:00;61.49011507630348;23.76863700337708;84.5999984741211;11402.5302734375;176;3.4619998931884766;None;None
2020-10-10 10:54:58+00:00;61.49011700414121;23.768707998096943;84.80000305175781;11406.3203125;176;3.4619998931884766;None;None
2020-10-10 10:54:59+00:00;61.490116668865085;23.768788129091263;85.0;11410.580078125;176;3.4619998931884766;None;None
2020-10-10 10:55:00+00:00;61.49011608213186;23.76886415295303;85.0;11414.6298828125;176;3.4709999561309814;None;None
2020-10-10 10:55:01+00:00;61.490112226456404;23.768938835710287;85.0;11418.6298828125;175;3.4709999561309814;None;None
2020-10-10 10:55:02+00:00;61.49010627530515;23.769016033038497;85.0;11422.7900390625;176;3.4800000190734863;None;None
2020-10-10 10:55:03+00:00;61.490103509277105;23.76909239217639;85.0;11426.8701171875;176;3.4800000190734863;None;None
2020-10-10 10:55:04+00:00;61.490101581439376;23.769174283370376;85.19999694824219;11431.2197265625;176;3.490000009536743;None;None
2020-10-10 10:55:05+00:00;61.490105437114835;23.769249552860856;85.0;11435.240234375;176;3.499000072479248;None;None
2020-10-10 10:55:06+00:00;61.490105437114835;23.769249552860856;85.19999694824219;11435.240234375;176;3.507999897003174;None;None
2020-10-10 10:55:07+00:00;61.490107867866755;23.76941048540175;85.19999694824219;11443.8095703125;176;3.5179998874664307;None;None
2020-10-10 10:55:08+00:00;61.49011289700866;23.769481647759676;85.4000015258789;11447.6396484375;176;3.5360000133514404;None;None
2020-10-10 10:55:09+00:00;61.490115746855736;23.76955859363079;85.4000015258789;11451.75;177;3.5460000038146973;None;None
2020-10-10 10:55:10+00:00;61.49012186564505;23.769628833979368;85.4000015258789;11455.5498046875;177;3.555000066757202;None;None
2020-10-10 10:55:11+00:00;61.490127481520176;23.76969387754798;85.4000015258789;11459.0703125;177;3.5739998817443848;None;None
2020-10-10 10:55:12+00:00;61.490130331367254;23.769761016592383;85.4000015258789;11462.66015625;176;3.5829999446868896;None;None
2020-10-10 10:55:13+00:00;61.490136701613665;23.76982488669455;85.4000015258789;11466.1201171875;176;3.5920000076293945;None;None
2020-10-10 10:55:14+00:00;61.49014173075557;23.769893953576684;85.4000015258789;11469.83984375;177;3.6019999980926514;None;None
2020-10-10 10:55:15+00:00;61.49014634080231;23.769962936639786;85.4000015258789;11473.5498046875;177;3.6110000610351562;None;None
2020-10-10 10:55:16+00:00;61.49014634080231;23.769962936639786;85.4000015258789;11473.5498046875;178;3.619999885559082;None;None
2020-10-10 10:55:17+00:00;61.49015539325774;23.770091934129596;85.4000015258789;11480.5;177;3.619999885559082;None;None
2020-10-10 10:55:18+00:00;61.490158159285784;23.770154463127255;85.4000015258789;11483.849609375;178;3.630000114440918;None;None
2020-10-10 10:55:19+00:00;61.49016226641834;23.77021531574428;85.4000015258789;11487.1201171875;178;3.630000114440918;None;None
2020-10-10 10:55:20+00:00;61.490168469026685;23.770274072885513;85.19999694824219;11490.3095703125;178;3.6389999389648438;None;None
2020-10-10 10:55:21+00:00;61.49017492309213;23.770339116454124;85.19999694824219;11493.849609375;178;3.6389999389648438;None;None
